店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
山内農場 品川港南口駅前店,03-3450-9388,,東京都,港区港南,2-6-7,品川ビル3・4F,https://r.gnavi.co.jp/8x95c8s40000/,TRUE
食べ放題 元氣七輪焼肉 牛繁 清瀬店,050-5494-0733,,東京都,清瀬市松山,1-9-4,清瀬魚久ビル2F,https://r.gnavi.co.jp/jnxk3wyf0000/,TRUE
順海閣 本館,050-5494-5531,,神奈川県,横浜市中区山下町,147,,https://r.gnavi.co.jp/67e7tagj0000/,TRUE
九州酒肴 筑前猫屋 八丁堀,050-5486-5799,,東京都,中央区八丁堀,3-11-8,美和ビルB1,https://r.gnavi.co.jp/khmye3bh0000/,TRUE
バルコラボ 那覇新都心,050-5486-2174,,沖縄県,那覇市おもろまち,4-6-17,おもろパークテラス2F,https://r.gnavi.co.jp/cd2vjmey0000/,TRUE
マルサ水産 津島店,050-5489-0944,,愛知県,津島市莪原町椋木,25-1,,https://r.gnavi.co.jp/g0kjsz1f0000/,TRUE
いろはにほへと 一関駅前店,050-5485-6527,,岩手県,一関市駅前,40,1F,https://r.gnavi.co.jp/t043639/,TRUE
膳夫 高木（かしわでたかき）,084-923-3030,,広島県,福山市船町,6-10,,https://r.gnavi.co.jp/h2k93spf0000/,TRUE
宮崎県 塚田農場 あべのハルカスダイニング店,050-5485-1684,,大阪府,大阪市阿倍野区阿倍野筋,1-1-43,あべのハルカス14F,https://r.gnavi.co.jp/kagg507/,TRUE
Twin Peaks Mountain Brewing,050-5487-3124,,茨城県,つくば市東新井,18-8,,https://r.gnavi.co.jp/95ys0wk30000/,TRUE
もつ鍋・ホルモン焼・焼肉 小力 豊田店,050-5488-6143,,愛知県,豊田市御立町,7-113-2,,https://r.gnavi.co.jp/3yb1js8x0000/,TRUE
海鮮居酒家 いろは丸 藤沢店,050-5487-2865,,神奈川県,藤沢市南藤沢,2-1-2,ザ・プライム1F,https://r.gnavi.co.jp/3b8gdkwn0000/,TRUE
表町肉焼処 黒場 －くろば－,050-5486-5731,,岡山県,岡山市北区表町,2-5-32,,https://r.gnavi.co.jp/n40f9mpd0000/,TRUE
バル・バローロ・イタリアン,050-5488-0848,,千葉県,茂原市押日,500-1,,https://r.gnavi.co.jp/56fs5vup0000/,TRUE
黒毛和牛焼肉と本格もつ鍋 山樹 長久手店,050-5485-2394,,愛知県,長久手市五合池,102-1,,https://r.gnavi.co.jp/n537300/,TRUE
船場美術館 Senba Art Studio アートドローイングカフェ,050-5486-6788,,大阪府,大阪市中央区南船場,4-9-11,レイシス心斎橋ビル5F,https://r.gnavi.co.jp/82peur3k0000/,TRUE
やきとり酒場 かづさ屋,050-5486-2204,,京都,府京都市中京区御射山町,260,ロイヤルプラザビル2F,https://r.gnavi.co.jp/kagv200/,TRUE
山内農場 千葉ニュータウン中央南口駅前店,0476-45-5288,,千葉県,印西市中央南,1-8,千葉ニュータウン中央駅前センタービル1F,https://r.gnavi.co.jp/gau4698/,TRUE
焼肉レストラン ロインズ 東大和,050-5485-6923,,東京都,東大和市狭山,5-1642-2,新青梅街道添い,https://r.gnavi.co.jp/ry2myuej0000/,TRUE
にぎり長次郎 神戸住吉店,050-5489-5302,,兵庫県,神戸市東灘区住吉宮町,3-16-11,,https://r.gnavi.co.jp/6ftgx29v0000/,TRUE
黒豚料理 寿庵 東開店,050-5492-8633,,鹿児島県,鹿児島市東開町,3-22,,https://r.gnavi.co.jp/8wv84e7r0000/,TRUE
ごきげん えびす 守山駅前店,077-599-5455,,滋賀県,守山市勝部,1-1-17,cocotto MORIYAMA2F,https://r.gnavi.co.jp/7ps0cngu0000/,TRUE
特急レーン焼肉 牛ゴロー,050-5492-3598,,広島県,東広島市西条町土与丸城野橋,1209-1,,https://r.gnavi.co.jp/gp5j8n400000/,TRUE
Sandy TERRACE 上野,050-5485-3925,,東京都,文京区湯島,3-36-10,永山ビル2F,https://r.gnavi.co.jp/j15egefm0000/,TRUE
ボンクォーレ,050-5486-4583,,愛知県,春日井市高山町,3-9-4,,https://r.gnavi.co.jp/h24phmjy0000/,TRUE
日本料理×個室 花むすび 魚周,050-5484-5275,,大阪府,松原市天美南,5-16-16,,https://r.gnavi.co.jp/c489100/,TRUE
もつ鍋 楽天地 博多駅前二丁目店,050-5486-0292,,福岡県,福岡市博多区博多駅前,2-5-23,,https://r.gnavi.co.jp/kbkrd5em0000/,TRUE
ステーキのどん秋川店,050-5493-4604,,東京都,あきる野市秋川,4-16-1,,https://r.gnavi.co.jp/8mmappx60000/,TRUE
肉汁餃子居酒屋　風来坊,050-5487-8702,,沖縄県,宜野湾市嘉数,1-4-14,,https://r.gnavi.co.jp/ews6ant00000/,TRUE
和食・懐石 がんこ 三田の里,050-3503-1335,,兵庫県,三田市大原,149,,https://r.gnavi.co.jp/k026626/,TRUE
いろはにほへと 富良野店,050-5488-4972,,北海道,富良野市本町,3-5,,https://r.gnavi.co.jp/d08yhk8h0000/,TRUE
大衆焼肉酒場 こがね,050-5487-9493,,埼玉県,越谷市南越谷,4-7-3,,https://r.gnavi.co.jp/bx7uvk9s0000/,TRUE
沖縄料理 丸沖商店,050-5487-3818,,沖縄県,名護市字幸喜,1398-1,,https://r.gnavi.co.jp/9em4f73w0000/,TRUE
あぐーしゃぶしゃぶ・沖縄料理 かふう,050-5485-1746,,沖縄県,国頭郡恩納村名嘉真,2217-1,大道アパート2F,https://r.gnavi.co.jp/pp6h1h900000/,TRUE
Bistro HACHIYA,050-5494-0469,,千葉県,君津市南子安,5-13-3,,https://r.gnavi.co.jp/127tj7s50000/,TRUE
